"state","place","zcta","stab","PlaceName","ZIPName","pop20","afact"
"State code","Place code","ZIP census tabulation area","State abbr.","Place name","ZIP Code name","Total population (2020 Census)","place-to-zcta allocation factor"
"48","00100","76621","TX","Abbott city, TX","Abbott, TX",352,1 
"48","00160","79311","TX","Abernathy city, TX","Abernathy, TX",2865,1 
"48","01000","79601","TX","Abilene city, TX","Abilene, TX",24091,0.1924 
"48","01000","79602","TX","Abilene city, TX","Abilene, TX",19074,0.1524 
"48","01000","79603","TX","Abilene city, TX","Abilene, TX",23065,0.1843 
"48","01000","79605","TX","Abilene city, TX","Abilene, TX",30239,0.2416 
"48","01000","79606","TX","Abilene city, TX","Abilene, TX",25561,0.2042 
"48","01000","79607","TX","Abilene city, TX","Dyess AFB, TX",2983,0.0238 
"48","01000","79699","TX","Abilene city, TX","Abilene, TX",169,0.0014 
"48","01060","78572","TX","Abram CDP, TX","Mission, TX",1108,1 
"48","01084","79839","TX","Acala CDP, TX","Fort Hancock, TX",11,1 
"48","01108","79713","TX","Ackerly city, TX","Ackerly, TX",264,1 
"48","01240","75001","TX","Addison town, TX","Addison, TX",16093,0.9659 
"48","01240","75254","TX","Addison town, TX","Dallas, TX",568,0.0341 
"48","01324","79001","TX","Adrian city, TX","Adrian, TX",128,1 
"48","01390","79928","TX","Agua Dulce CDP, TX","El Paso, TX",3218,1 
"48","01396","78330","TX","Agua Dulce city, TX","Agua Dulce, TX",685,1 
"48","01420","78369","TX","Aguilares CDP, TX","Mirando City, TX",6,1 
"48","01500","78582","TX","Airport Heights CDP, TX","Rio Grande City, TX",151,1 
"48","01514","78355","TX","Airport Road Addition CDP, TX","Falfurrias, TX",96,1 
"48","01576","78516","TX","Alamo city, TX","Alamo, TX",19493,1 
"48","01594","77979","TX","Alamo Beach CDP, TX","Port Lavaca, TX",254,1 
"48","01600","78209","TX","Alamo Heights city, TX","San Antonio, TX",7357,1 
"48","01612","79002","TX","Alanreed CDP, TX","Alanreed, TX (PO boxes)",23,1 
"48","01636","75410","TX","Alba town, TX","Alba, TX",473,1 
"48","01648","76430","TX","Albany city, TX","Albany, TX",1854,1 
"48","01696","77032","TX","Aldine CDP, TX","Houston, TX",360,0.0225 
"48","01696","77037","TX","Aldine CDP, TX","Houston, TX",3418,0.2136 
"48","01696","77039","TX","Aldine CDP, TX","Houston, TX",4614,0.2884 
"48","01696","77060","TX","Aldine CDP, TX","Houston, TX",7607,0.4755 
"48","01744","76008","TX","Aledo city, TX","Aledo, TX",4858,1 
"48","01816","78332","TX","Alfred CDP, TX","Alice, TX",82,1 
"48","01852","78332","TX","Alice city, TX","Alice, TX",17891,1 
"48","01858","78332","TX","Alice Acres CDP, TX","Alice, TX",465,1 
"48","01924","75002","TX","Allen city, TX","Allen, TX",56267,0.5378 
"48","01924","75013","TX","Allen city, TX","Allen, TX",48360,0.4622 
"48","02032","79003","TX","Allison CDP, TX","Allison, TX (PO boxes)",125,1 
"48","02044","75119","TX","Alma town, TX","Ennis, TX",373,1 
"48","02104","79830","TX","Alpine city, TX","Alpine, TX",5564,0.922 
"48","02104","79832","TX","Alpine city, TX","Alpine, TX",471,0.078 
"48","02188","75925","TX","Alto town, TX","Alto, TX",1027,1 
"48","02194","78582","TX","Alto Bonito Heights CDP, TX","Rio Grande City, TX",296,1 
"48","02212","78573","TX","Alton city, TX","Mission, TX",18162,0.998 
"48","02212","78574","TX","Alton city, TX","Mission, TX",36,0.002 
"48","02260","76009","TX","Alvarado city, TX","Alvarado, TX",4739,1 
"48","02272","77510","TX","Alvin city, TX","Santa Fe, TX",1,0 
"48","02272","77511","TX","Alvin city, TX","Alvin, TX",26916,0.9933 
"48","02272","77578","TX","Alvin city, TX","Manvel, TX",46,0.0017 
"48","02272","77583","TX","Alvin city, TX","Rosharon, TX",127,0.0047 
"48","02272","77584","TX","Alvin city, TX","Pearland, TX",8,0.0003 
"48","02284","76225","TX","Alvord town, TX","Alvord, TX",1351,1 
"48","02286","78582","TX","Amada Acres CDP, TX","Rio Grande City, TX",79,1 
"48","02290","78332","TX","Amargosa CDP, TX","Alice, TX",305,1 
